Laser id,Elevation,Azimuth
1,7.275,-0.025
2,6.274,-0.025
3,5.268,-0.026
4,4.26,-0.026
5,3.247,-2.54
6,2.234,-2.541
7,1.899,2.49
8,1.553,-5.042
9,1.219,-2.541
10,0.884,2.49
11,0.538,-5.042
12,0.203,-2.541
13,-0.136,2.49
14,-0.474,-5.042
15,-0.813,-0.026
16,-1.152,2.49
17,-1.489,-5.042
18,-1.828,-0.026
19,-2.166,4.998
20,-2.504,-2.541
21,-2.842,-0.026
22,-3.179,4.998
23,-3.516,-2.54
24,-3.854,-0.026
25,-4.187,4.997
26,-4.529,-2.54
27,-4.863,2.49
28,-5.194,4.997
29,-5.535,-2.539
30,-5.868,2.49
31,-6.869,2.49
32,-7.865,2.49
33,-8.855,-0.024
34,-9.839,-0.023
35,-10.816,-0.023
36,-11.785,-0.022
37,-12.742,-2.528
38,-13.693,-2.526
39,-14.634,-2.523
40,-15.564,-2.521
