Laser id,Elevation,Azimuth
1,7.223,-0.025
2,6.222,-0.025
3,5.216,-0.026
4,4.208,-0.026
5,3.195,-2.54
6,2.182,-2.541
7,1.847,2.49
8,1.501,-5.042
9,1.167,-2.541
10,0.832,2.49
11,0.486,-5.042
12,0.151,-2.541
13,-0.188,2.49
14,-0.526,-5.042
15,-0.865,-0.026
16,-1.204,2.49
17,-1.541,-5.042
18,-1.88,-0.026
19,-2.218,4.998
20,-2.556,-2.541
21,-2.894,-0.026
22,-3.231,4.998
23,-3.568,-2.54
24,-3.906,-0.026
25,-4.239,4.997
26,-4.581,-2.54
27,-4.915,2.49
28,-5.246,4.997
29,-5.587,-2.539
30,-5.92,2.49
31,-6.921,2.49
32,-7.917,2.49
33,-8.907,-0.024
34,-9.891,-0.023
35,-10.868,-0.023
36,-11.837,-0.022
37,-12.794,-2.528
38,-13.745,-2.526
39,-14.686,-2.523
40,-15.616,-2.521
